FileName,LayerName,Group,Source,Categorical
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_1.tif,Annual mean temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_2.tif,Mean diurnal range,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_3.tif,Isothermality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_4.tif,Temperature seasonality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_5.tif,Max. temperature of warmest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_6.tif,Min. temperature of coldest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_7.tif,Temperature annual range,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_8.tif,Mean temperature of wettest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_9.tif,Mean temperature of driest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_10.tif,Mean temperature of warmest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_11.tif,Mean temperature of coldest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_12.tif,Annual precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_13.tif,Precipitation of wettest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_14.tif,Precipitation of driest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_15.tif,Precipitation seasonality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_16.tif,Precipitation of wettest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_17.tif,Precipitation of driest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_18.tif,Precipitiation of warmest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DerivedData\bio_19.tif,Precipitation of coldest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax1.tif,Average Jan. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax2.tif,Average Feb. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax3.tif,Average March Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax4.tif,Average April Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax5.tif,Average May Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax6.tif,Average June Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax7.tif,Average July Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax8.tif,Average Aug. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax9.tif,Average Sept. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax10.tif,Average Oct. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax11.tif,Average Nov. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMaxTemp\tmax12.tif,Average Dec. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean1.tif,Average Jan. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean2.tif,Average Feb. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean3.tif,Average March Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean4.tif,Average April Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean5.tif,Average May Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean6.tif,Average June Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\SourceData\AvgMonthlyMeanTemp\tmean7.tif,Average July Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
