Module name,Source,Parameter,File name
Anthropogenic,?,Distance to major roads,mjr_rd_dist
Anthropogenic,?,US population density,uspop
Climate,Daymet data,Annual mean temperature,Bio1
Climate,Daymet data,Mean diurnal range,Bio2
Climate,Daymet data,Isothermality,Bio3
Climate,Daymet data,Temperature seasonality,Bio4
Climate,Daymet data,Maximum temperature of warmest month,Bio5
Climate,Daymet data,Minimum temperature of coldest month,Bio6
Climate,Daymet data,Temperature annual range,Bio7
Climate,Daymet data,Mean temperature of wettest quarter,Bio8
Climate,Daymet data,Mean temperature of driest quarter,Bio9
Climate,Daymet data,Mean temperature of warmest quarter,Bio10
Climate,Daymet data,Mean temperature of coldest quarter,Bio11
Climate,Daymet data,Annual precipitation,Bio12
Climate,Daymet data,Precipitation of wettest month,Bio13
Climate,Daymet data,Precipitation of driest month,Bio14
Climate,Daymet data,Precipitation seasonality,Bio15
Climate,Daymet data,Precipitation of wettest quarter,Bio16
Climate,Daymet data,Precipitation of driest quarter,Bio17
Climate,Daymet data,Precipitiation of warmest quarter,Bio18
Climate,Daymet data,Precipitation of coldest quarter,Bio19
Climate,PRISM data,Annual mean temperature,Bio1
Climate,PRISM data,Mean diurnal range,Bio2
Climate,PRISM data,Isothermality,Bio3
Climate,PRISM data,Temperature seasonality,Bio4
Climate,PRISM data,Maximum temperature of warmest month,Bio5
Climate,PRISM data,Minimum temperature of coldest month,Bio6
Climate,PRISM data,Temperature annual range,Bio7
Climate,PRISM data,Mean temperature of wettest quarter,Bio8
Climate,PRISM data,Mean temperature of driest quarter,Bio9
Climate,PRISM data,Mean temperature of warmest quarter,Bio10
Climate,PRISM data,Mean temperature of coldest quarter,Bio11
Climate,PRISM data,Annual precipitation,Bio12
Climate,PRISM data,Precipitation of wettest month,Bio13
Climate,PRISM data,Precipitation of driest month,Bio14
Climate,PRISM data,Precipitation seasonality,Bio15
Climate,PRISM data,Precipitation of wettest quarter,Bio16
Climate,PRISM data,Precipitation of driest quarter,Bio17
Climate,PRISM data,Precipitiation of warmest quarter,Bio18
Climate,PRISM data,Precipitation of coldest quarter,Bio19
Climate,WorldClim,Annual mean temperature,Bio1
Climate,WorldClim,Mean diurnal range,Bio2
Climate,WorldClim,Isothermality,Bio3
Climate,WorldClim,Temperature seasonality,Bio4
Climate,WorldClim,Maximum temperature of warmest month,Bio5
Climate,WorldClim,Minimum temperature of coldest month,Bio6
Climate,WorldClim,Temperature annual range,Bio7
Climate,WorldClim,Mean temperature of wettest quarter,Bio8
Climate,WorldClim,Mean temperature of driest quarter,Bio9
Climate,WorldClim,Mean temperature of warmest quarter,Bio10
Climate,WorldClim,Mean temperature of coldest quarter,Bio11
Climate,WorldClim,Annual precipitation,Bio12
Climate,WorldClim,Precipitation of wettest month,Bio13
Climate,WorldClim,Precipitation of driest month,Bio14
Climate,WorldClim,Precipitation seasonality,Bio15
Climate,WorldClim,Precipitation of wettest quarter,Bio16
Climate,WorldClim,Precipitation of driest quarter,Bio17
Climate,WorldClim,Precipitiation of warmest quarter,Bio18
Climate,WorldClim,Precipitation of coldest quarter,Bio19
Climate,Daymet data,Frequency of precipitaiton events,freqprcip
Climate,Daymet data,Frost free days,frostdays
Climate,Daymet data,Growing degree days,growday
Climate,Daymet data,Humidity,humidity
Climate,Daymet data,Average annual maximum temperature,maxtemp
Climate,Daymet data,Average annual minimum temperature,mintemp
Climate,PRISM data,Frequency of precipitaiton events,freqprcip
Climate,PRISM data,Frost free days,frostdays
Climate,PRISM data,Growing degree days,growday
Climate,PRISM data,Humidity,humidity
Climate,PRISM data,Average annual maximum temperature,maxtemp
Climate,PRISM data,Average annual minimum temperature,mintemp
Climate,WorldClim,Frequency of precipitaiton events,freqprcip
Climate,WorldClim,Frost free days,frostdays
Climate,WorldClim,Growing degree days,growday
Climate,WorldClim,Humidity,humidity
Climate,WorldClim,Average annual maximum temperature,maxtemp
Climate,WorldClim,Average annual minimum temperature,mintemp
Climate,?,Average size of precipitation events,precipsize
Climate,?,Solar radiation,radiation
Hydrology,?,,bafloind
Hydrology,?,Compound topographic index,comtopindx
Hydrology,?,Distance to water,dist_h2o
Hydrology,?,Flow accumulation,flowaccum
Hydrology,?,Flow direction,flowdir
Land Cover,MODIS,Cover of bare ground,us_bare_vcf
Land Cover,MODIS,Cover of herbaceous vegetation,us_herb_vcf
Land Cover,MODIS,Cover of trees,us_tree_vcf
Land Cover,MRLC,,?
Land Surface Phenology,MODIS EVI,EVI Beginning of season,evi_01
Land Surface Phenology,MODIS EVI,EVI End of season,evi_02
Land Surface Phenology,MODIS EVI,EVI Length of season,evi_03
Land Surface Phenology,MODIS EVI,EVI Base value,evi_04
Land Surface Phenology,MODIS EVI,EVI Peak time,evi_05
Land Surface Phenology,MODIS EVI,EVI Peak value,evi_06
Land Surface Phenology,MODIS EVI,EVI Amplitude,evi_07
Land Surface Phenology,MODIS EVI,EVI Greenup rate,evi_08
Land Surface Phenology,MODIS EVI,EVI Browndown rate,evi_09
Land Surface Phenology,MODIS EVI,EVI Integral over season absolute,evi_10
Land Surface Phenology,MODIS EVI,EVI Integral over season scaled,evi_11
Land Surface Phenology,MODIS EVI,EVI Maximum value,evi_12
Land Surface Phenology,MODIS EVI,EVI Minimum value,evi_13
Land Surface Phenology,MODIS EVI,EVI Mean value,evi_14
Land Surface Phenology,MODIS EVI,EVI RMSE,evi_15
Land Surface Phenology,MODIS NDVI,NDVI Beginning of season,ndvi_01
Land Surface Phenology,MODIS NDVI,NDVI End of season,ndvi_02
Land Surface Phenology,MODIS NDVI,NDVI Length of season,ndvi_03
Land Surface Phenology,MODIS NDVI,NDVI Base value,ndvi_04
Land Surface Phenology,MODIS NDVI,NDVI Peak time,ndvi_05
Land Surface Phenology,MODIS NDVI,NDVI Peak value,ndvi_06
Land Surface Phenology,MODIS NDVI,NDVI Amplitude,ndvi_07
Land Surface Phenology,MODIS NDVI,NDVI Greenup rate,ndvi_08
Land Surface Phenology,MODIS NDVI,NDVI Browndown rate,ndvi_09
Land Surface Phenology,MODIS NDVI,NDVI Integral over season absolute,ndvi_10
Land Surface Phenology,MODIS NDVI,NDVI Integral over season scaled,ndvi_11
Land Surface Phenology,MODIS NDVI,NDVI Maximum value,ndvi_12
Land Surface Phenology,MODIS NDVI,NDVI Minimum value,ndvi_13
Land Surface Phenology,MODIS NDVI,NDVI Mean value,ndvi_14
Land Surface Phenology,MODIS NDVI,NDVI RMSE,ndvi_15
Land Surface Phenology,MODIS NDVI,NDVI Winter dearth,ndvi_wd
Soils,?,Geology of bedrock,geology
Topography,1km DEM,Eastness (sin(aspect)),eastness
Topography,1km DEM,Elevation,elevation
Topography,1km DEM,Slope (degree),slpdeg
Topography,1km DEM,northness (cos(aspect)),northness
Topography,30m DEM,Eastness (sin(aspect)),eastness
Topography,30m DEM,Elevation,elevation
Topography,30m DEM,Slope (degree),slpdeg
Topography,30m DEM,northness (cos(aspect)),northness
