Flag ,Abbrv ,Type ,Default ,Meaning 
projectionlayers ,j ,file/directory ,,"Location of an alternate set of environmental variables. Maxent models will be projected onto these variables.
Can be a .csv file (in SWD format) or a directory containing one file per variable.
Multiple projection files/directories can be separated by commas. "
randomtestpoints ,X ,integer ,0,"Percentage of presence localities to be randomly set aside as test points, used to compute AUC, omission etc. "
betamultiplier ,b ,double ,1,Multiply all automatic regularization parameters by this number. A higher number gives a more spread-out distribution. 
maximumbackground ,MB ,integer ,10000,"If the number of background points / grid cells is larger than this number, then this number of cells is chosen randomly for background points "
testsamplesfile ,T ,file ,,"Use the presence localities in this file to compute statistics (AUC, omission etc.)
The file can contain different localities for different species.
It takes precedence over the random test percentage. "
replicates ,,integer ,1,"Number of replicate runs to do when cross-validating, bootstrapping or doing sampling with replacement runs "
replicatetype ,,string ,crossvalidate ,"If replicates > 1, do multiple runs of this type:
Crossvalidate: samples divided into replicates folds; each fold in turn used for test data.
Bootstrap: replicate sample sets chosen by sampling with replacement.
Subsample: replicate sample sets chosen by removing random test percentage without replacement to be used for evaluation. 
(Options)"
writebackgroundpredictions ,,boolean ,false ,Write .csv file with predictions at background points 
linear ,l ,boolean ,true ,Allow linear features to be used 
quadratic ,q ,boolean ,true ,Allow quadratic features to be used 
product ,p ,boolean ,true ,Allow product features to be used 
threshold ,,boolean ,true ,Allow threshold features to be used 
hinge ,h ,boolean ,true ,Allow hinge features to be used 
writeplotdata ,,boolean ,false ,"Write output files containing the data used to make response curves, for import into external plotting software "
fadebyclamping ,,boolean ,false ,"Reduce prediction at each point in projections by the difference between
clamped and non-clamped output at that point "
extrapolate ,,boolean ,true ,Predict to regions of environmental space outside the limits encountered during training 
autofeature ,A ,boolean ,true ,"Automatically select which feature classes to use, based on number of training samples "
doclamp ,,boolean ,true ,Apply clamping when projecting 
maximumiterations ,m ,integer ,500,Stop training after this many iterations of the optimization algorithm 
convergencethreshold ,c ,double ,1.00E-05,Stop training when the drop in log loss per iteration drops below this number 
beta_threshold ,,double ,-1,Regularization parameter to be applied to all threshold features; negative value enables automatic setting 
beta_categorical ,,double ,-1,Regularization parameter to be applied to all categorical features; negative value enables automatic setting 
beta_lqp ,,double ,-1,"Regularization parameter to be applied to all linear, quadratic and product features; negative value enables automatic setting "
beta_hinge ,,double ,-1,Regularization parameter to be applied to all hinge features; negative value enables automatic setting 
applythresholdrule ,,string ,,"Apply a threshold rule, generating a binary output grid in addition to the regular prediction grid. Options:
·      Fixed cumulative value 1
·      Fixed cumulative value 5
·      Fixed cumulative value 10
·      Minimum training presence
·      10 percentile training presence
·      Equal training sensitivity and specificity
·      Maximum training sensitivity plus specificity
"
